legacy_row_id,legacy_profession,legacy_secondary_profession,legacy_tier,legacy_rarity,legacy_name,legacy_category,legacy_craft_type,legacy_description,legacy_use,legacy_output_qty,legacy_base_price_gp,legacy_vendor_price_gp,legacy_sale_price_gp,legacy_component_1,legacy_component_1_qty,legacy_component_1_source,legacy_component_2,legacy_component_2_qty,legacy_component_2_source,legacy_component_3,legacy_component_3_qty,legacy_component_3_source,legacy_components_json
1,Blacksmithing,,1,Common,Armor of Gleaming,Armor/Shield,shield,Crafted item (Common).,Crafting output for Blacksmithing.,1,20,20,10,Frostsalt Crystal (T1),1,Mining,Forge Flux (T1),1,Mining,Wild Heart (T1),1,Hunting,"[{""name"":""Frostsalt Crystal (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T1)"",""qty"":1,""gathering_profession"":""Hunting""}]"
2,Blacksmithing,,1,Common,Cast-Off Armor,Armor/Shield,shield,Crafted item (Common).,Crafting output for Blacksmithing.,1,20,20,10,Forge Flux (T1),1,Mining,Forge Flux (T1),1,Mining,Wild Heart (T1),1,Hunting,"[{""name"":""Forge Flux (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T1)"",""qty"":1,""gathering_profession"":""Hunting""}]"
3,Blacksmithing,,1,Common,Shield of Expression,Armor/Shield,shield,Crafted item (Common).,Crafting output for Blacksmithing.,1,20,20,10,Emberstone Chunk (T1),1,Mining,Forge Flux (T1),1,Mining,Wild Heart (T1),1,Hunting,"[{""name"":""Emberstone Chunk (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T1)"",""qty"":1,""gathering_profession"":""Hunting""}]"
4,Blacksmithing,,1,Common,Smoldering armor,Armor/Shield,shield,Crafted item (Common).,Crafting output for Blacksmithing.,1,20,20,10,Starcut Gem (T1),1,Mining,Forge Flux (T1),1,Mining,Wild Heart (T1),1,Hunting,"[{""name"":""Starcut Gem (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T1)"",""qty"":1,""gathering_profession"":""Hunting""}]"
5,Blacksmithing,,1,Common,Moon-Touched Sword,Weapon,weapon,Crafted item (Common).,Crafting output for Blacksmithing.,1,20,20,10,Deepvein Ore (T1),1,Mining,Starcut Gem (T1),1,Mining,Keen Eye (T1),1,Hunting,"[{""name"":""Deepvein Ore (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Starcut Gem (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Keen Eye (T1)"",""qty"":1,""gathering_profession"":""Hunting""}]"
6,Blacksmithing,,1,Common,Silvered Weapon,Weapon,weapon,Crafted item (Common).,Crafting output for Blacksmithing.,1,20,20,10,Emberstone Chunk (T1),1,Mining,Starcut Gem (T1),1,Mining,Keen Eye (T1),1,Hunting,"[{""name"":""Emberstone Chunk (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Starcut Gem (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Keen Eye (T1)"",""qty"":1,""gathering_profession"":""Hunting""}]"
7,Blacksmithing,,1,Common,Unbreakable arrow,Weapon,weapon,Crafted item (Common).,Crafting output for Blacksmithing.,1,20,20,10,Frostsalt Crystal (T1),1,Mining,Starcut Gem (T1),1,Mining,Keen Eye (T1),1,Hunting,"[{""name"":""Frostsalt Crystal (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Starcut Gem (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Keen Eye (T1)"",""qty"":1,""gathering_profession"":""Hunting""}]"
8,Blacksmithing,,1,Common,Walloping ammunition,Weapon,weapon,Crafted item (Common).,Crafting output for Blacksmithing.,1,20,20,10,Mythic Alloy (T1),1,Mining,Starcut Gem (T1),1,Mining,Keen Eye (T1),1,Hunting,"[{""name"":""Mythic Alloy (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Starcut Gem (T1)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Keen Eye (T1)"",""qty"":1,""gathering_profession"":""Hunting""}]"
9,Blacksmithing,,2,Uncommon,Ammunition(10) (+1),Ammunition,smith_misc,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Deepvein Ore (T2),1,Mining,Forge Flux (T2),1,Mining,Wild Heart (T2),1,Hunting,"[{""name"":""Deepvein Ore (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
10,Blacksmithing,,2,Uncommon,Adamantine Armor,Armor/Shield,shield,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Forge Flux (T2),1,Mining,Deepvein Ore (T2),1,Mining,Dragon Gland (T2),1,Hunting,"[{""name"":""Forge Flux (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Deepvein Ore (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Dragon Gland (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
